 # Cycle    Energy/N    Magnetization/N
           2 -0.919600010      -9.99999978E-03
        1300  -1.70560002      -6.27999976E-02
        1302  -1.69439995      -6.92000017E-02
        1304  -1.67760003      -7.99999982E-02
        1306  -1.68040001      -6.97999969E-02
        1308  -1.70959997      -6.78000003E-02
        1310  -1.72520006      -7.14000016E-02
        1312  -1.73599994      -8.82000029E-02
        1314  -1.72959995      -9.57999974E-02
        1316  -1.71480000     -0.103200004    
        1318  -1.70519996      -9.52000022E-02
        1320  -1.71120000     -0.104999997    
        1322  -1.68560004     -0.106200002    
        1324  -1.70519996     -0.118799999    
        1326  -1.70280004     -0.119999997    
        1328  -1.69679999     -0.128399998    
        1330  -1.72360003     -0.121799998    
        1332  -1.71679997     -0.113200001    
        1334  -1.71319997     -0.114000000    
        1336  -1.71640003      -9.56000015E-02
        1338  -1.70120001     -0.100400001    
        1340  -1.70200002     -0.109999999    
        1342  -1.71399999     -0.109399997    
        1344  -1.70480001     -0.112999998    
        1346  -1.71599996     -0.110399999    
        1348  -1.72679996     -0.104199998    
        1350  -1.71239996     -0.106200002    
        1352  -1.70360005      -9.67999995E-02
        1354  -1.71759999     -0.107799999    
        1356  -1.73640001     -0.107600003    
        1358  -1.69799995     -0.103200004    
        1360  -1.71239996     -0.101199999    
        1362  -1.70480001      -9.92000028E-02
        1364  -1.71959996      -9.34000015E-02
        1366  -1.70720005      -9.22000036E-02
        1368  -1.72679996     -0.104599997    
        1370  -1.71000004      -9.45999995E-02
        1372  -1.69799995     -0.100000001    
        1374  -1.69840002     -0.103799999    
        1376  -1.69439995     -0.109999999    
        1378  -1.69360006     -0.103200004    
        1380  -1.71720004     -0.110399999    
        1382  -1.70360005     -0.115599997    
        1384  -1.69120002     -0.119000003    
        1386  -1.70439994     -0.118000001    
        1388  -1.70360005     -0.119999997    
        1390  -1.70640004     -0.129600003    
        1392  -1.71120000     -0.119999997    
        1394  -1.71000004     -0.117399998    
        1396  -1.70720005     -0.123999998    
        1398  -1.70480001     -0.111800000    
        1400  -1.71120000     -0.127599999    
        1402  -1.71720004     -0.137199998    
        1404  -1.71120000     -0.129800007    
        1406  -1.72319996     -0.124799997    
        1408  -1.70959997     -0.131600007    
        1410  -1.70920002     -0.129999995    
        1412  -1.71200001     -0.133399993    
        1414  -1.72000003     -0.133599997    
        1416  -1.70319998     -0.129400000    
