 # Cycle    Energy/N    Magnetization/N
        1374  -1.63999999     -0.899999976    
        1376  -1.27999997     -0.779999971    
        1378  -1.39999998     -0.839999974    
        1380  -1.91999996     -0.980000019    
        1382  -1.79999995     -0.939999998    
        1384  -1.63999999     -0.899999976    
        1386  -1.63999999     -0.899999976    
        1388  -1.84000003     -0.959999979    
        1390  -2.00000000      -1.00000000    
        1392  -1.63999999     -0.899999976    
        1394  -1.79999995     -0.939999998    
        1396  -1.84000003     -0.959999979    
        1398  -1.75999999     -0.939999998    
        1400  -1.91999996     -0.980000019    
        1402  -1.84000003     -0.959999979    
        1404  -1.60000002     -0.860000014    
        1406  -1.72000003     -0.899999976    
        1408  -1.39999998     -0.800000012    
        1410  -1.72000003     -0.920000017    
        1412  -1.88000000     -0.959999979    
        1414  -1.55999994     -0.879999995    
        1416  -1.55999994     -0.860000014    
        1418  -1.51999998     -0.860000014    
        1420  -1.67999995     -0.839999974    
        1422  -1.55999994     -0.800000012    
        1424  -1.67999995     -0.860000014    
        1426  -1.91999996     -0.980000019    
        1428  -2.00000000      -1.00000000    
        1430  -1.84000003     -0.959999979    
        1432  -1.91999996     -0.980000019    
        1434  -1.67999995     -0.899999976    
        1436  -1.79999995     -0.899999976    
        1438  -1.84000003     -0.959999979    
        1440  -1.63999999     -0.879999995    
        1442  -1.55999994     -0.860000014    
        1444  -1.60000002     -0.860000014    
        1446  -1.32000005     -0.800000012    
        1448  -1.44000006     -0.800000012    
        1450  -1.48000002     -0.819999993    
        1452  -1.72000003     -0.879999995    
        1454  -1.39999998     -0.800000012    
        1456  -1.36000001     -0.759999990    
        1458  -1.36000001     -0.740000010    
        1460  -1.24000001     -0.600000024    
        1462  -1.20000005     -0.680000007    
        1464  -1.72000003     -0.920000017    
        1466  -1.67999995     -0.879999995    
        1468  -1.75999999     -0.879999995    
        1470  -1.63999999     -0.899999976    
        1472  -1.39999998     -0.779999971    
        1474  -1.51999998     -0.819999993    
        1476  -1.63999999     -0.879999995    
        1478  -1.44000006     -0.800000012    
        1480  -1.12000000     -0.660000026    
        1482  -1.67999995     -0.920000017    
        1484  -1.88000000     -0.959999979    
        1486  -1.91999996     -0.980000019    
        1488  -2.00000000      -1.00000000    
        1490  -1.72000003     -0.920000017    
        1492  -1.75999999     -0.939999998    
        1494  -1.72000003     -0.920000017    
        1496  -1.67999995     -0.920000017    
        1498  -1.32000005     -0.779999971    
        1500  -1.84000003     -0.959999979    
        1502  -1.67999995     -0.920000017    
        1504  -1.60000002     -0.879999995    
        1506  -1.84000003     -0.959999979    
        1508  -1.91999996     -0.980000019    
        1510  -1.75999999     -0.939999998    
